Epoch,Learning rate,Training loss,Testing loss,RANS loss,BC loss,Sample loss
6.860000000000000000e+02,1.000000000000000048e-04,2.665278593303126854e+03,1.482774168155235373e+02,5.048725625000000150e+01,1.032183170318603516e-01,1.588072012313602421e+01
7.350000000000000000e+02,1.000000000000000048e-04,2.664280296071425710e+03,1.480072017321036526e+02,4.929748750000000257e+01,1.043308615684509361e-01,1.585162913068057833e+01
7.840000000000000000e+02,1.000000000000000048e-04,2.663273184197908449e+03,1.471454916283795740e+02,4.798762500000000131e+01,1.059648513793945424e-01,1.576684563188949362e+01
8.330000000000000000e+02,1.000000000000000048e-04,2.662531348061276276e+03,1.470365006403429788e+02,4.849766250000000412e+01,1.072206854820251520e-01,1.575466360523404319e+01
8.820000000000000000e+02,1.000000000000000048e-04,2.661325384784811376e+03,1.469633473309083911e+02,4.892736250000000098e+01,1.089827418327331543e-01,1.574504347298352869e+01
9.310000000000000000e+02,1.000000000000000048e-04,2.659973396829249850e+03,1.468650263788246662e+02,4.916722187500000274e+01,1.110045313835144043e-01,1.573180206668951087e+01
9.800000000000000000e+02,1.000000000000000048e-04,2.658806377797159257e+03,1.466870574644659371e+02,4.934694375000000122e+01,1.134262561798095731e-01,1.571161334644865626e+01
1.029000000000000000e+03,9.000000000000000567e-05,2.657580624356360204e+03,1.463854599535965804e+02,4.927696250000000333e+01,1.160509467124938993e-01,1.567914242341145226e+01
1.078000000000000000e+03,9.000000000000000567e-05,2.656213367938116335e+03,1.460016344073285381e+02,4.938481562500000166e+01,1.191925406455993652e-01,1.564056144629094902e+01
1.127000000000000000e+03,9.000000000000000567e-05,2.654568698027479059e+03,1.458283463193099863e+02,4.866955000000000098e+01,1.223418474197387751e-01,1.561791711041435704e+01
1.176000000000000000e+03,9.000000000000000567e-05,2.652993844858563534e+03,1.455896003780270007e+02,4.814746562500000238e+01,1.261142253875732477e-01,1.558880960415629602e+01
1.225000000000000000e+03,9.000000000000000567e-05,2.650879637590268885e+03,1.451733013521427438e+02,4.798282500000000539e+01,1.309911489486694502e-01,1.554382072309796037e+01
1.274000000000000000e+03,9.000000000000000567e-05,2.648676532802872316e+03,1.446957174625548532e+02,4.731708125000000109e+01,1.369254589080810547e-01,1.549152135187752144e+01
1.323000000000000000e+03,9.000000000000000567e-05,2.646284020627603240e+03,1.442189129881141412e+02,4.659439687500000105e+01,1.442018985748290960e-01,1.543665510772854077e+01
1.372000000000000000e+03,9.000000000000000567e-05,2.642393417972763018e+03,1.435951645823591605e+02,4.565673437499999920e+01,1.539383888244628962e-01,1.536817155712025240e+01
1.421000000000000000e+03,9.000000000000000567e-05,2.638912980442893968e+03,1.438310903756511152e+02,4.500906562500000518e+01,1.649988293647766113e-01,1.537709044634454791e+01
1.470000000000000000e+03,9.000000000000000567e-05,2.633043302846956522e+03,1.422015085577042726e+02,4.124045625000000115e+01,1.805668830871582087e-01,1.520427754126605535e+01
1.519000000000000000e+03,9.000000000000000567e-05,2.625904178560795572e+03,1.418831720623694821e+02,4.071723125000000465e+01,1.992470979690551813e-01,1.515905596051765514e+01
1.568000000000000000e+03,9.000000000000000567e-05,2.616450545472981503e+03,1.413185873633363201e+02,3.908033125000000041e+01,2.243430376052856501e-01,1.508741162524101753e+01
1.617000000000000000e+03,9.000000000000000567e-05,2.604297306168032719e+03,1.409615921809139536e+02,3.851489062499999960e+01,2.573424577713012695e-01,1.503248175132548958e+01
1.666000000000000000e+03,9.000000000000000567e-05,2.591264966021445161e+03,1.404108969771355646e+02,3.897745312500000381e+01,3.004053115844727007e-01,1.496641408604327061e+01
1.715000000000000000e+03,9.000000000000000567e-05,2.580952070003360404e+03,1.400221262872487955e+02,4.206018750000000495e+01,3.467049598693847656e-01,1.491881862995064800e+01
1.764000000000000000e+03,9.000000000000000567e-05,2.573236548052243961e+03,1.398896158702293349e+02,4.273648437500000341e+01,3.893645286560059038e-01,1.489198779285445440e+01
1.813000000000000000e+03,9.000000000000000567e-05,2.568590167311549521e+03,1.397190930426648947e+02,4.834924062500000019e+01,4.340860366821289174e-01,1.488171077117969610e+01
1.862000000000000000e+03,9.000000000000000567e-05,2.564568351105815054e+03,1.391534838397024032e+02,4.770581250000000040e+01,4.751608371734619141e-01,1.482551772284032054e+01
1.911000000000000000e+03,9.000000000000000567e-05,2.560504316579639635e+03,1.389135902727089160e+02,4.723247187500000166e+01,5.151190280914307307e-01,1.480284271155305298e+01
1.960000000000000000e+03,9.000000000000000567e-05,2.557673687875043925e+03,1.388675874883759604e+02,4.804757500000000192e+01,5.565906524658202903e-01,1.480335771242470599e+01
2.009000000000000000e+03,8.100000000000000375e-05,2.553480516114805141e+03,1.390326450719659590e+02,4.667471250000000538e+01,5.964349269866943137e-01,1.481910588708250742e+01
2.058000000000000000e+03,8.100000000000000375e-05,2.550372543484264497e+03,1.388179206067133862e+02,4.635239687500000372e+01,6.376275539398194026e-01,1.480075678143437123e+01
2.107000000000000000e+03,8.100000000000000375e-05,2.547241426457030684e+03,1.385141908059468960e+02,4.450696874999999864e+01,6.800366878509521706e-01,1.477059647454944269e+01
2.156000000000000000e+03,8.100000000000000375e-05,2.544076656932513288e+03,1.384174471714245271e+02,4.425564375000000439e+01,7.253339290618896484e-01,1.476363858419540342e+01
2.205000000000000000e+03,8.100000000000000375e-05,2.541249858450233660e+03,1.384074556914238201e+02,4.439352187500000468e+01,7.731700420379639116e-01,1.476430024735618929e+01
2.254000000000000000e+03,8.100000000000000375e-05,2.537959657114302445e+03,1.381024091321449703e+02,4.287918125000000202e+01,8.248836517333985041e-01,1.473405224756197107e+01
2.303000000000000000e+03,8.100000000000000375e-05,2.535162014067760538e+03,1.382281112459446319e+02,4.292726250000000476e+01,8.779256820678711382e-01,1.474788353368047211e+01
